Date_Time,NetRad_Wm2,Pressure_kPa,AirTemp1_C,AirTemp2_C,RelHumidity,WindSpeed_kph,WindDirection_Degrees,WindGust_kph,PPT_mm,NetRad_sw_Wm2,SolarRad_Wm2,SoilTemp_C,NetRad_lw_Wm2,SurfaceLevel_mm,OutRad_sw_Wm2,OutRad_lw_Wm2,InRad_lw_Wm2,timeMST,TIMESTAMP_UTC,Evaporation_mm30min,CO2_kgm2s
15-Jul-2018 13:00:00,416.95,87.4365553733335,32.9157407407407,36.3027777777778,17.9483333333333,8.5938756,106.783333333333,11.6355282,0,588.483333333333,1048.18833333333,28.4787037037037,-171.535,1.524,459.713333333333,529.966666666667,358.383333333333,0.550347222222222,07/15/2018 19:00,0.003385504,-8.29584e-08
15-Jul-2018 13:30:00,412.975,87.4083354677779,33.6157407407407,37.4537037037037,16.1633333333333,7.84821473333333,106.183333333333,10.7933069333333,0,589.285,1052.995,29.0611111111111,-176.308333333333,1.524,463.74,537.333333333333,360.981666666667,0.571180555555556,07/15/2018 19:30,0.001133199,-1.02213e-07
15-Jul-2018 14:00:00,403.57,87.3744715811113,34.3046296296296,36.4759259259259,14.9666666666667,7.99305533333333,133.883333333333,11.9627606666667,0,583.265,1043.94333333333,29.6731481481481,-179.695,1.524,460.725,543.09,363.39,0.592013888888889,07/15/2018 20:00,-0.000743051,-9.1494e-08
15-Jul-2018 14:30:00,390.085,87.3406076944445,34.2814814814815,38.1212962962963,14.0783333333333,10.8174470333333,109.166666666667,16.2516517666667,0,570.475,1022.165,30.2907407407407,-180.393333333333,1.524,451.643333333333,543.536666666667,363.118333333333,0.612847222222222,07/15/2018 20:30,-0.000320163,-1.18999e-07
15-Jul-2018 15:00:00,369.541666666667,87.2954558455557,34.7305555555556,36.7935185185185,13.6933333333333,10.9569231666667,137.733333333333,16.8819766,0,549.61,981.978333333333,30.8944444444444,-180.068333333333,1.27,432.725,545.741666666667,365.68,0.633680555555556,07/15/2018 21:00,-0.000329524,-1.18423e-07
15-Jul-2018 15:30:00,337.913333333333,87.261591958889,35.5268518518519,36.2361111111111,13.2,7.74628986666667,156.466666666667,12.4750672333333,0,517.543333333333,926.913333333333,31.462962962963,-179.63,1.27,409.3,547.136666666667,367.553333333333,0.654513888888889,07/15/2018 21:30,-0.000525319,-1.14476e-07
15-Jul-2018 16:00:00,304.863333333333,87.2220840911112,35.537962962963,36.5888888888889,13.1566666666667,9.99668363333333,144.133333333333,16.3938101333333,0,481.281666666667,861.93,31.9787037037037,-176.416666666667,1.27,380.61,544.743333333333,368.306666666667,0.675347222222222,07/15/2018 22:00,-0.000238674,-9.2413e-08
15-Jul-2018 16:30:00,262.618333333333,87.1825762233335,35.6305555555556,36.4925925925926,12.795,8.78431416666667,152.65,12.6976926,0,434.911666666667,783.083333333333,32.4314814814815,-172.296666666667,1.22766666666667,348.108333333333,541.62,369.283333333333,0.696180555555556,07/15/2018 22:30,-0.000779243,-1.17194e-07
15-Jul-2018 17:00:00,215.511666666667,87.1430683555557,35.5314814814815,37.2638888888889,12.6666666666667,10.8603627666667,106.038333333333,14.8515259666667,0,383.96,695.963333333333,32.7805555555556,-168.446666666667,1.016,311.913333333333,536.196666666667,367.781666666667,0.717013888888889,07/15/2018 23:00,-0.000829671,-9.77472e-08
15-Jul-2018 17:30:00,122.951666666667,87.1035604877779,35.5555555555556,37.0527777777778,11.9683333333333,11.4504541,94.2516666666667,16.3508944,0,286.295,526.138333333333,32.9583333333333,-163.341666666667,0.973666666666667,239.405,529.455,366.136666666667,0.737847222222222,07/15/2018 23:30,0.000554597,-1.00232e-07
15-Jul-2018 18:00:00,7.64,87.0979165066668,35.0675925925926,36.3777777777778,11.7366666666667,8.49463296666667,100.168333333333,13.0463829333333,0,153.576666666667,289.305,32.9666666666667,-145.938333333333,0.762,135.713333333333,517.055,371.086666666667,0.758680555555556,07/16/2018 00:00,-0.001540722,-5.02067e-08
